"Design","Fold","Route","Model","TrainWeighting","RecordID","Species","Type","ObservedPoint","PredictedPoint","FitKey","RunPurpose","EvalWeighting","EvaluationWeight","SignedError"
"fivefold",1,"joint_bb","Null","record_equal","XLSX_R0006","Carassius_carassius","count",0,0.736990112133487,"b0d2982e6694b80433d125e15c6d3c34247893796e3a769bece707c8280695c5","formal","species_equal",3.02083333333333,0.736990112133487
"fivefold",1,"joint_bb","Null","record_equal","XLSX_R0008","Cirrhinus_molitorella","count",0,0.736990112133487,"b0d2982e6694b80433d125e15c6d3c34247893796e3a769bece707c8280695c5","formal","species_equal",3.02083333333333,0.736990112133487
"fivefold",1,"joint_bb","Null","record_equal","XLSX_R0032","Lates_calcarifer","exact",0.9,0.736990112133487,"b0d2982e6694b80433d125e15c6d3c34247893796e3a769bece707c8280695c5","formal","species_equal",1.51041666666667,-0.163009887866513
"fivefold",1,"joint_bb","Null","record_equal","XLSX_R0033","Lates_calcarifer","exact",0.8589,0.736990112133487,"b0d2982e6694b80433d125e15c6d3c34247893796e3a769bece707c8280695c5","formal","species_equal",1.51041666666667,-0.121909887866513
"fivefold",1,"joint_bb","Null","record_equal","XLSX_R0034","Seriola_dumerili","exact",0.9,0.736990112133487,"b0d2982e6694b80433d125e15c6d3c34247893796e3a769bece707c8280695c5","formal","species_equal",1.51041666666667,-0.163009887866513
"fivefold",1,"joint_bb","Null","record_equal","XLSX_R0035","Seriola_dumerili","exact",0.8,0.736990112133487,"b0d2982e6694b80433d125e15c6d3c34247893796e3a769bece707c8280695c5","formal","species_equal",1.51041666666667,-0.0630098878665131
"fivefold",1,"joint_bb","Null","record_equal","XLSX_R0038","Platichthys_stellatus","exact",0.6,0.736990112133487,"b0d2982e6694b80433d125e15c6d3c34247893796e3a769bece707c8280695c5","formal","species_equal",3.02083333333333,0.136990112133487
"fivefold",1,"joint_bb","Null","record_equal","XLSX_R0050","Poropanchax_normani","count",1,0.736990112133487,"b0d2982e6694b80433d125e15c6d3c34247893796e3a769bece707c8280695c5","formal","species_equal",1.51041666666667,-0.263009887866513
"fivefold",1,"joint_bb","Null","record_equal","XLSX_R0051","Poropanchax_normani","count",1,0.736990112133487,"b0d2982e6694b80433d125e15c6d3c34247893796e3a769bece707c8280695c5","formal","species_equal",1.51041666666667,-0.263009887866513
"fivefold",1,"joint_bb","Null","record_equal","XLSX_R0062","Platax_orbicularis","count",0.8,0.736990112133487,"b0d2982e6694b80433d125e15c6d3c34247893796e3a769bece707c8280695c5","formal","species_equal",3.02083333333333,-0.0630098878665131
"fivefold",1,"joint_bb","Null","record_equal","XLSX_R0063","Lutjanus_erythropterus","exact",0.5,0.736990112133487,"b0d2982e6694b80433d125e15c6d3c34247893796e3a769bece707c8280695c5","formal","species_equal",3.02083333333333,0.236990112133487
"fivefold",1,"joint_bb","Null","record_equal","XLSX_R0153","Plectropomus_leopardus","count",1,0.736990112133487,"b0d2982e6694b80433d125e15c6d3c34247893796e3a769bece707c8280695c5","formal","species_equal",1.51041666666667,-0.263009887866513
"fivefold",1,"joint_bb","Null","record_equal","XLSX_R0154","Plectropomus_leopardus","count",0.9,0.736990112133487,"b0d2982e6694b80433d125e15c6d3c34247893796e3a769bece707c8280695c5","formal","species_equal",1.51041666666667,-0.163009887866513
"fivefold",2,"joint_bb","Null","record_equal","XLSX_R0002","Carassius_auratus","count",0,0.69945117462088,"363634dd7bb64c9afc86ca801ee8ddaf94dcd3f7df7c3626650d328c89daba57","formal","species_equal",0.755208333333333,0.69945117462088
